plot,idcoral,species,log_diam_2015,log_diam_2018,survive
iui5_4,271,dip,NA,0.966983846,
iui5_5,272,dip,NA,0.982078472,
iui5_5,273,dip,NA,1.036736885,
iui5_5,274,dip,NA,1.05431203,
iui5_5,275,dip,NA,1.131402111,
iui5_5,276,dip,NA,0.920282753,
iui5_5,277,dip,NA,1.047318994,
iui5_5,278,dip,NA,1.00795792,
iui5_5,279,dip,NA,0.940007258,
iui5_5,280,dip,NA,1.115141591,
nr5_1,281,dip,NA,0.792992516,
nr5_2,282,dip,NA,0.963174318,
nr5_3,283,dip,NA,0.559615788,
nr5_3,284,dip,NA,1.350667183,
nr5_4,285,dip,NA,1.463255402,
iui5_2,286,plat,NA,0.845868268,
iui5_4,287,plat,NA,0.916290732,
iui5_4,288,plat,NA,1.141033005,
iui5_4,289,plat,NA,0.779324877,
iui5_5,290,plat,NA,0.867100488,
iui5_5,291,plat,NA,1.068153081,
iui5_5,292,plat,NA,0.936093359,
iui5_5,293,plat,NA,0.672944473,
